Cell_Line_ID,Drug_ID,Drug_Name,IC50
1,1,5-Fluorouracil,0.5383151745502123
2,6,5-Fluorouracil,0.5435824482649738
3,8,5-Fluorouracil,0.17820026257013993
4,9,5-Fluorouracil,5.596860162885717
5,1,5-Fluorouracil,0.08912727266493518
6,5,5-Fluorouracil,0.7196007218086293
7,7,5-Fluorouracil,0.8136413032819024
8,2,5-Fluorouracil,0.7108691400197735
9,8,5-Fluorouracil,2.6107922917065176
10,8,5-Fluorouracil,1.257073767799278
11,4,5-Fluorouracil,1.3454983100436912
12,5,5-Fluorouracil,1.1261275765078427
13,3,5-Fluorouracil,0.515631694088179
14,1,5-Fluorouracil,1.2780665061357115
15,6,5-Fluorouracil,0.7932142617004053
16,2,5-Fluorouracil,1.0667608707454812
17,8,5-Fluorouracil,1.838532238444982
18,9,5-Fluorouracil,0.33007901564170156
19,1,5-Fluorouracil,2.5908498971276868
20,1,5-Fluorouracil,1.0906746480286447
21,3,5-Fluorouracil,1.3176301820932783
22,3,5-Fluorouracil,1.5687342608181345
23,8,5-Fluorouracil,4.74136564813377
24,4,5-Fluorouracil,5.361830663990963
25,5,5-Fluorouracil,4.14526683261057
26,6,5-Fluorouracil,3.79521798729461
27,4,5-Fluorouracil,1.1814547296840072
28,6,5-Fluorouracil,2.199899958662878
29,5,5-Fluorouracil,0.6298458253833161
30,8,5-Fluorouracil,0.2505179426834444
31,7,5-Fluorouracil,1.3447437879799993
32,9,5-Fluorouracil,0.3771873062201143
33,9,5-Fluorouracil,0.2778662139685791
34,6,5-Fluorouracil,0.4465003846680403
35,4,5-Fluorouracil,0.3079086688041736
36,4,5-Fluorouracil,0.40383216367799823
37,3,5-Fluorouracil,0.22253473545494357
38,7,5-Fluorouracil,0.15130708060131584
39,7,5-Fluorouracil,0.7156484591282573
40,5,5-Fluorouracil,0.6609829103126494
41,8,5-Fluorouracil,0.3730336722436629
42,3,5-Fluorouracil,1.2122211193290027
43,6,5-Fluorouracil,0.24633911034294992
44,7,5-Fluorouracil,1.3676087613901775
45,1,5-Fluorouracil,2.073796532847828
46,8,5-Fluorouracil,0.4767968775220165
47,9,5-Fluorouracil,0.7651956616293512
48,3,5-Fluorouracil,0.20337860594439214
49,8,5-Fluorouracil,1.5305721945138209
50,4,5-Fluorouracil,1.997357902859644
51,5,5-Fluorouracil,1.326991985390684
52,1,5-Fluorouracil,0.3340976058703491
53,6,5-Fluorouracil,1.1038620612073058
54,6,5-Fluorouracil,0.7296521708244998
55,2,5-Fluorouracil,2.376634531622576
56,8,5-Fluorouracil,0.8172576287915263
57,8,5-Fluorouracil,1.3519692396137344
58,7,5-Fluorouracil,1.426462187023447
59,3,5-Fluorouracil,0.2981770766051996
60,3,5-Fluorouracil,1.2060393094983817
61,6,5-Fluorouracil,0.4677834723981352
62,7,5-Fluorouracil,3.4214819668360774
63,3,5-Fluorouracil,0.16618442368152317
64,8,5-Fluorouracil,0.5268986319899511
65,5,5-Fluorouracil,0.6039051177263994
66,3,5-Fluorouracil,0.4968454894315021
67,7,5-Fluorouracil,0.5484405245249475
68,4,5-Fluorouracil,0.5593355545026395
69,3,5-Fluorouracil,0.21599614032153028
70,5,5-Fluorouracil,2.7775308107930576
71,3,5-Fluorouracil,0.5200766308313473
72,1,5-Fluorouracil,1.3893343244980683
73,8,5-Fluorouracil,2.018874217576547
74,4,5-Fluorouracil,3.1800957503129434
75,3,5-Fluorouracil,0.20715293100040727
76,7,5-Fluorouracil,0.10437767366650519
77,1,5-Fluorouracil,2.1976049850187542
78,6,5-Fluorouracil,2.396989770375403
79,8,5-Fluorouracil,0.4038051749245139
80,7,5-Fluorouracil,0.5394630334370714
81,2,5-Fluorouracil,0.9579550172687952
82,9,5-Fluorouracil,0.23730164627651196
83,3,5-Fluorouracil,0.8719975760255444
84,1,5-Fluorouracil,0.4316376014930126
85,8,5-Fluorouracil,0.546917326130956
86,2,5-Fluorouracil,1.337939185269806
87,3,5-Fluorouracil,0.8980598544103097
88,3,5-Fluorouracil,5.370806738448678
89,3,5-Fluorouracil,0.5012038559399199
90,7,5-Fluorouracil,1.97553715477298
91,8,5-Fluorouracil,0.8837440624897654
92,9,5-Fluorouracil,3.9311479975470216
93,4,5-Fluorouracil,0.5739957069972297
94,2,5-Fluorouracil,0.918786589198339
95,2,5-Fluorouracil,0.13731761721808763
96,5,5-Fluorouracil,4.607406363435407
97,7,5-Fluorouracil,1.0188627838876028
98,3,5-Fluorouracil,1.8512350155541022
99,5,5-Fluorouracil,0.11929292950245883
100,8,5-Fluorouracil,2.762780395314943
